emotion,context,response
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. عندما تنزعج مني أشعر أنني أب سيء. لا يجب أن أزعجها لأنني لا أريدها أن تكون حزينة.","في بعض الأحيان يجب أن أقول لا ، حتى لو كان ذلك يجعل شخصًا ما حزينًا. لن يقرر شجار واحد ما إذا كنت والدًا سيئًا أم لا. العائلة مهمة ويمكن للأصدقاء الانتظار."
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. عندما تنزعج مني أشعر أنني أب سيء. لا يجب أن أزعجها لأنني لا أريدها أن تكون حزينة.","لا يجب أن أشعر بأنني والد سيء عندما تنزعج مني. يمكننا العمل على تواصلنا للوصول إلى حل وسط. الأشياء ليست بالأبيض والأسود ، والدقة ليست كذلك في العادة."
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. عندما تنزعج مني أشعر أنني أب سيء. لا يجب أن أزعجها لأنني لا أريدها أن تكون حزينة.","يوافق الآباء على أطفالهم ، يجب أن أفعل الشيء نفسه لأكون على ما يرام معها."
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. قد لا يحبها أصدقاؤها إذا لم تستطع فعل الأشياء معهم.",لا يجب أن أعتقد أن أصدقائها لن يحبونها لأنها لم تستطع الذهاب معهم مرة واحدة. سيقبلون قرارها ولن يغضبوا منها.
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. قد لا يحبها أصدقاؤها إذا لم تستطع فعل الأشياء معهم.","يمكنها إنشاء توازن بين العائلة والأصدقاء ، وقضاء الوقت مع كل منهم وفقًا لما تشعر به. إنها ليست مسؤولة عن ردود أفعال أصدقائها ومشاعرهم ، ولا أعرف ما هي ردود الفعل هذه أيضًا ، فأنا أقفز إلى الاستنتاجات من خلال رؤية الصورة من وجهة نظري المعيبة."
guilt,"ابنتي تريد الذهاب لمشاهدة فيلم مع أصدقائها لكن لدينا خطط عائلية. لا أريد أن أقول لها ""لا"" لأنها ستصاب بخيبة أمل كبيرة وستغضب مني. لكني أعتقد أنه من المهم أن نقضي الوقت معًا كعائلة. قد لا يحبها أصدقاؤها إذا لم تستطع فعل الأشياء معهم.","يجب أن يفهم الأصدقاء عندما يكون لديهم مسؤوليات عائلية ، فلن أعتبرهم أصدقاء لابنتي إذا لم يفهموا هذه النقطة."
disappointment,"سألت زوجي عما إذا كان يريد الخروج في عطلة نهاية الأسبوع هذه لتناول العشاء ومشاهدة فيلم ، فأجاب ""لا يهمني"". إنه لا يُظهر أي حماسة بشأن الخروج معي ، لذا يجب ألا يرغب في ذلك حقًا. ربما لديه أشياء أخرى يفضل القيام بها.",من المحتمل جدًا ألا يكون هناك وقت خلال عطلة نهاية الأسبوع
disappointment,"سألت زوجي عما إذا كان يريد الخروج في عطلة نهاية الأسبوع هذه لتناول العشاء ومشاهدة فيلم ، فأجاب ""لا يهمني"". إنه لا يُظهر أي حماسة بشأن الخروج معي ، لذا يجب ألا يرغب في ذلك حقًا. ربما لديه أشياء أخرى يفضل القيام بها.","يجب أن يكون لديه الكثير في ذهنه في الوقت الحالي ، ربما يجب أن أتحدث معه."
disappointment,"سألت زوجي عما إذا كان يريد الخروج في عطلة نهاية الأسبوع هذه لتناول العشاء ومشاهدة فيلم ، فأجاب ""لا يهمني"". ربما لم ينجذب إلي. يجب ألا يحبني بالطريقة التي اعتاد عليها. يا له من أخرق!",لا ينبغي أن أعتقد ذلك بدون أي دليل
disappointment,"سألت زوجي عما إذا كان يريد الخروج في عطلة نهاية الأسبوع هذه لتناول العشاء ومشاهدة فيلم ، فأجاب ""لا يهمني"". ربما لم ينجذب إلي. يجب ألا يحبني بالطريقة التي اعتاد عليها. يا له من أخرق!",ربما يعتقد أنني ما زلت جذابة ويجب أن أعبر له بالتأكيد عن مخاوفي وانعدام الأمن.
anger,"كنت غاضبا من موقف في العمل. عندما عدت إلى المنزل ، أخبرت زوجتي أنني بحاجة إلى أن أكون وحدي وذهبت إلى مكتبي. تبعتني إلى مكتبي لتطرح الأسئلة. لم تتركني وشأني وانفجرت في صراخها لتتركني وشأني. أعتقد أنها كانت تحاول عن عمد مضايقتي. كانت تعلم أنني بحاجة إلى أن أكون وحدي","أرادت أن تعرف لماذا أنا منزعجة ، أن تحاول مساعدتي."
anger,"كنت غاضبا من موقف في العمل. عندما عدت إلى المنزل ، أخبرت زوجتي أنني بحاجة إلى أن أكون وحدي وذهبت إلى مكتبي. تبعتني إلى مكتبي لتطرح الأسئلة. لم تتركني وشأني وانفجرت في صراخها لتتركني وشأني. أعتقد أنها كانت تحاول عن عمد مضايقتي. كانت تعلم أنني بحاجة إلى أن أكون وحدي",كانت زوجتي قلقة من أجلي وعلي أن أعتذر
anger,"كنت غاضبا من موقف في العمل. عندما عدت إلى المنزل ، أخبرت زوجتي أنني بحاجة إلى أن أكون وحدي وذهبت إلى مكتبي. تبعتني إلى مكتبي لتطرح الأسئلة. لم تتركني وشأني وانفجرت في صراخها لتتركني وشأني. أنا أحمق. لم تكن تستحق أن تصرخ في وجهها. كان يجب أن أتحكم في نفسي.","على الرغم من أنني أخبرتها أنني بحاجة إلى أن أكون وحيدة ، ما كان يجب أن أرفع صوتي."
anger,"كنت غاضبا من موقف في العمل. عندما عدت إلى المنزل ، أخبرت زوجتي أنني بحاجة إلى أن أكون وحدي وذهبت إلى مكتبي. تبعتني إلى مكتبي لتطرح الأسئلة. لم تتركني وشأني وانفجرت في صراخها لتتركني وشأني. أنا أحمق. لم تكن تستحق أن تصرخ في وجهها. كان يجب أن أتحكم في نفسي.","كنت غاضبًا ، ولا ينبغي أن أصرخ. من الصعب السيطرة على نفسي"
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. يجب أن أذهب إلى الحدث لأنني أريد أن أجعله سعيدًا. سيكون مستاءً مني إذا لم أكن موجودًا لدعمه.,"أعتقد أن زوجها لا يمانع حقًا إذا ذهبت أم لا ، فهذا خيارها ولكن ربما ينبغي عليها أن تكون معه فقط وتجري اتصالات أو صداقات جديدة."
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. يجب أن أذهب إلى الحدث لأنني أريد أن أجعله سعيدًا. سيكون مستاءً مني إذا لم أكن موجودًا لدعمه.,زوجك يريدك أن تذهب لأنه فخور بك ويعلم أن زملائه سوف ينالون إعجابهم.
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. يجب أن أذهب إلى الحدث لأنني أريد أن أجعله سعيدًا. سيكون مستاءً مني إذا لم أكن موجودًا لدعمه.,"يجب أن أتحدث معه. يريدني أن أفعل شيئًا ضد إرادتي. يمكنه على سبيل المثال تعريفي مع الناس من حولنا. ربما أنا شخص خجول ، يجب أن يعرفني ، فهو زوجي."
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. لماذا علي الذهاب؟ لا يفعل أشياء مهمة بالنسبة لي. في الأسبوع الماضي لم يذهب معي لتناول العشاء مع عائلتي - كان يجب أن يعرف مدى أهميته بالنسبة لي.,فقط لأنه فاته عشاء عائلي مهم لا يعني أنها يجب أن ترفض دعوته. ربما كان لديه سبب لعدم ذهابه إلى عشاء العائلة وأعتقد أنه ينبغي عليهم مناقشة هذا الأمر.
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. لماذا علي الذهاب؟ لا يفعل أشياء مهمة بالنسبة لي. في الأسبوع الماضي لم يذهب معي لتناول العشاء مع عائلتي - كان يجب أن يعرف مدى أهميته بالنسبة لي.,لست مضطرًا للذهاب ولكنك تستمتع دائمًا بمثل هذه الأحداث عندما تكون هناك وستكون ليلة سعيدة في الخارج. يجب أن يعزز علاقتكما وربما يقنع زوجك أنه يجب أن يذهب إلى مناسبة الأسرة التالية
conflicted,زوجي يريدني أن أحضر معه مناسبة عمل لكنني لا أريد ذلك. لا أعرف أي شخص هناك جيدًا ولا أستمتع به حقًا. قال إنني لست مضطرًا للذهاب لكنني أعلم أنه يريدني ذلك. لماذا علي الذهاب؟ لا يفعل أشياء مهمة بالنسبة لي. في الأسبوع الماضي لم يذهب معي لتناول العشاء مع عائلتي - كان يجب أن يعرف مدى أهميته بالنسبة لي.,"إنه صارم بعض الشيء. ربما يكون مدمن عمل. لم يكن في عشاء عائلي وما زلت لا أعرف لماذا. ربما لم يتمكن من الظهور لسبب وجيه ، يجب أن أتحدث معه."
irritated,ابني لا يخرج القمامة عندما أطلب منه ذلك. أخبرته أن القمامة تتراكم. يجب أن يعرف أنني أريده أن يخرجها لكنه مجرد كسول وغير مراعي. لا يجب أن أخبره!,"ابني مجرد مراهق ولديه مشاكله الخاصة للتعامل معها ، لكن يجب أن أتحدث معه على أي حال لأنه بحاجة إلى رعاية هذا المنزل مثل بقية أفراد أسرتنا."
irritated,ابني لا يخرج القمامة عندما أطلب منه ذلك. أخبرته أن القمامة تتراكم. يجب أن يعرف أنني أريده أن يخرجها لكنه مجرد كسول وغير مراعي. لا يجب أن أخبره!,"أخبرته أن القمامة تتراكم ، فقلت له إنني بحاجة لمساعدته لإخراجها معًا"
hurt,بدأت أعز أصدقائي في مواعدة صديقي بعد أن انفصلت عنه. كيف يمكن أن تكون غير مراعية لهذه الدرجة؟ يجب أن تعرف أن هذا سيؤذيني. لن أفعل ذلك لها! أعلم أنها سألت عما إذا كان الأمر على ما يرام لكنني صدمت جدًا من ذلك وقلت إنه بخير. لكن كيف يمكن لشخص أن يسأل ذلك؟,تعتقد صديقتها أنها على ما يرام في علاقتها. يجب أن تخبرها.
hurt,بدأت أعز أصدقائي في مواعدة صديقي بعد أن انفصلت عنه. كيف يمكن أن تكون غير مراعية لهذه الدرجة؟ يجب أن تعرف أن هذا سيؤذيني. لن أفعل ذلك لها! أعلم أنها سألت عما إذا كان الأمر على ما يرام لكنني صدمت جدًا من ذلك وقلت إنه بخير. لكن كيف يمكن لشخص أن يسأل ذلك؟,"إذا كنت قد انتهيت منه ، فعليك أن تقبل أنه قد يواعد مع أي شخص آخر تعرفه."
hurt,بدأت أعز أصدقائي في مواعدة صديقي بعد أن انفصلت عنه. ربما أنا - لا يجب أن أكون صديقة جيدة لها.,يجب أن تعرف صديقتها أنها لا توافق على ذلك لأنها أفضل صديقاتها.
hurt,بدأت أعز أصدقائي في مواعدة صديقي بعد أن انفصلت عنه. ربما أنا - لا يجب أن أكون صديقة جيدة لها.,لم تكن القضية مهمة
upset,"مرة أخرى ، تمت ترقية شخص آخر في العمل على الرغم من أنني كنت هناك لفترة أطول. أنا غير محظوظ جدا. لا شيء جيد يحدث لي.","شخص آخر تمت ترقيته مرة أخرى في العمل وأعتقد أنه ينبغي عليّ أن أصعب قليلاً وأن أتحسن في وظيفتي ، ثم أتحدث إلى صاحب العمل واسأله عما إذا كان من الممكن ترقيتي من خلال إظهار عملي الجيد له."
upset,"مرة أخرى ، تمت ترقية شخص آخر في العمل على الرغم من أنني كنت هناك لفترة أطول. أنا غير محظوظ جدا. لا شيء جيد يحدث لي.",أنا متأكد من أنني لم أفعل أي شيء للترقية لكنني سأشتكي
upset,"مرة أخرى ، تمت ترقية شخص آخر في العمل على الرغم من أنني كنت هناك لفترة أطول. ربما لديه صلات. وهذا غير عادل. لقد عملت هنا لفترة أطول لذا يجب عليهم ترقيتي.","تمت ترقية شخص آخر مرة أخرى في العمل ، وأعتقد أن موقع emloyer الخاص بي لا يبحث فقط عن المدة التي يعمل فيها شخص ما هنا ولكن مدى جودة أدائه لهذا العمل إذا تحسنت في عملي فحسب ، فقد أحصل على ترقية أيضًا."
upset,"مرة أخرى ، تمت ترقية شخص آخر في العمل على الرغم من أنني كنت هناك لفترة أطول. ربما لديه صلات. وهذا غير عادل. لقد عملت هنا لفترة أطول لذا يجب عليهم ترقيتي.",ربما فعل شيئًا لم أفعله ولهذا تمت ترقيته
frustration,"مديري تتصرف بشكل غير معقول في توقعاتها للعمل الإضافي ولكن لا يمكنني أن أقول ""لا"". مديري متطلب للغاية وحاسم. أعلم أنني إذا رفضت البقاء لوقت متأخر ستطردني.","(يذكر أن هذا سيناريو وليس شيئًا حقيقيًا) يطالب مديري لسبب ما ، قد لا أكون منتجًا كما هو متوقع ولكن يمكنني أن أبدأ من هناك وأتحسن حتى لا يكون هناك أي سبب للمطالبة. قد يكون مديري مخطئًا في التعبير عن هذا السلوك ، لكننا جميعًا نمر بلحظات صعبة ، وقد يحدث ذلك أيضًا لرئيسي."
frustration,"مديري تتصرف بشكل غير معقول في توقعاتها للعمل الإضافي ولكن لا يمكنني أن أقول ""لا"". مديري متطلب للغاية وحاسم. أعلم أنني إذا رفضت البقاء لوقت متأخر ستطردني.","إنه لا يفهم عندما أحاول التفكير معه ، يمكنه خفض راتبي ، أو زيادة عملي أو طردني."
frustration,"مديري تتصرف بشكل غير معقول في توقعاتها للعمل الإضافي ولكن لا يمكنني أن أقول ""لا"". ليس لدي أي خيارات حقًا. لن تستمع إلى المنطق.",يمكنني محاولة التحقق مما هو متوقع مني والتحدث إلى رئيسي حول مشاعري. ستفهم لأنها إنسان أيضًا.
frustration,"مديري تتصرف بشكل غير معقول في توقعاتها للعمل الإضافي ولكن لا يمكنني أن أقول ""لا"". ليس لدي أي خيارات حقًا. لن تستمع إلى المنطق.","لن أحاول حتى التفكير معها ، فقد يأتي ذلك بنتائج عكسية بالنسبة لي ، من الأفضل أن أستمر في التمسك حتى أحصل على وظيفة أخرى."
frustration,"تحدثت ابنتي البالغة مرارًا وتكرارًا بصوت ساخر على الرغم من طلباتي العديدة لها بـ ""محاولة التحدث بلطف"". تدحرجت عينيها وتبتسم في وجهي علانية ، ثم عندما أشعر بالضيق / الأذى ، تقول إنني أقوم بشيء كبير بشأن لا شيء ، وتقول لي إنني أقودها إلى الجنون. حزن قلبي لأن ابنتي لا تهتم بمشاعري. إنها تعاملني بقلة احترام وتتصل بي فقط عندما تحتاج إلى مساعدتي.",ربما ابنتي لديها مشكلة لا تستطيع مواجهتها؟
frustration,"تحدثت ابنتي البالغة مرارًا وتكرارًا بصوت ساخر على الرغم من طلباتي العديدة لها بـ ""محاولة التحدث بلطف"". تدحرجت عينيها وتبتسم في وجهي علانية ، ثم عندما أشعر بالضيق / الأذى ، تقول إنني أقوم بشيء كبير بشأن لا شيء ، وتقول لي إنني أقودها إلى الجنون. حزن قلبي لأن ابنتي لا تهتم بمشاعري. إنها تعاملني بقلة احترام وتتصل بي فقط عندما تحتاج إلى مساعدتي.","لا يجب أن أقلق كثيرًا حيال ذلك ، فهي بالغة لذا فهي تعرف ما تفعله. قد تواجه بعض المشاكل ويجب أن أحاول مساعدتها في حلها"
overwhelmed,لقد ترك صديقي عدة رسائل لي حول الذهاب لتناول الغداء. اكتئابي سيء للغاية لدرجة أنني لا أشعر بأنني اجتماعية. لكن يجب أن أتصل بصديقي. ستعتقد أنني شخص فظيع لعدم الرد على مكالمتها.,"يمكنني أن أستغرق بعض الوقت بالنسبة لي ولا أشعر بأنني مجبر على أن أكون اجتماعيًا. كل شخص لديه تلك اللحظات التي لا تريد حقاً التفاعل. لم أقم بالرد على مكالمة لكنها ستفهم أنني قد أكون مشغولًا أو لا يمكنني الرد على المكالمة ، فهذا ليس إلزاميًا ولم أكن أفعل شيئًا سيئًا. ولكن أيضًا ، يمكنني التفكير (في أي وقت قريب) في مقابلتها حتى ألهيها قليلاً ويمكنني حتى التحدث معها عن مشاعري ، وهذا قد يساعدها ويجعلها سعيدة بشأن تناول الغداء معًا."
overwhelmed,لقد ترك صديقي عدة رسائل لي حول الذهاب لتناول الغداء. اكتئابي سيء للغاية لدرجة أنني لا أشعر بأنني اجتماعية. لكن يجب أن أتصل بصديقي. ستعتقد أنني شخص فظيع لعدم الرد على مكالمتها.,أشعر بالحزن ولكن على الأقل يجب أن ترد على مكالمات صديقي وإلا ستقلق علي.
overwhelmed,لقد ترك صديقي عدة رسائل لي حول الذهاب لتناول الغداء. أنا كسول وضعيف لدرجة أنني لا أستطيع فعل شيء بسيط مثل الاتصال بصديقي.,أنا أركز كثيرًا على المشاعر السلبية التي تنعكس على حياتي. حان الوقت للمضي قدمًا والاتصال بصديقي لتغيير شعوري :-)
overwhelmed,لقد ترك صديقي عدة رسائل لي حول الذهاب لتناول الغداء. أنا كسول وضعيف لدرجة أنني لا أستطيع فعل شيء بسيط مثل الاتصال بصديقي.,لا أشعر بالرغبة في التحدث إلى صديقي أو القيام بأي شيء اليوم.
jealous,كانت زوجتي تتحدث إلى رجل آخر وتلمس ذراعه. سألتها بعد ذلك عن سلوكها وحبه. هي تحبه. ماذا لو أرادته وتركني؟ لا يمكنني التنافس معه.,كل شخص لديه مجموعة من الأشخاص الذين يتسكعون معهم. لا يوجد شيء خطأ في ذلك. إنه مجرد أحد معارف زوجتك.
jealous,كانت زوجتي تتحدث إلى رجل آخر وتلمس ذراعه. سألتها بعد ذلك عن سلوكها وحبه. هي تحبه. ماذا لو أرادته وتركني؟ لا يمكنني التنافس معه.,"نحن بشر ، يمكنها أن تحبه ، لكننا في علاقة ، نحب ونحترم بعضنا البعض."
jealous,كانت زوجتي تتحدث إلى رجل آخر وتلمس ذراعه. سألتها بعد ذلك عن سلوكها وحبه. لقد خدعتني نساء أخريات. أشعر أنني لا أستطيع الوثوق بها.,"إذا لم تكن شخصًا موثوقًا ، فلن تتزوجها. لا تحكم على الناس كليًا إذا استندت إلى موقف واحد فقط."
jealous,كانت زوجتي تتحدث إلى رجل آخر وتلمس ذراعه. سألتها بعد ذلك عن سلوكها وحبه. لقد خدعتني نساء أخريات. أشعر أنني لا أستطيع الوثوق بها.,"لأكون صريحًا ، من الصعب علي أن أقرر. أعتقد أنه يجب علي الحد من علاقاتي مع النساء أو عدم الدخول في علاقات أعمق"
apprehension,أنا بحاجة لحضور اجتماع. أنا قلق لأنه آخر مرة تعرضت فيها لنوبة ذعر خلال اجتماع. سأصاب بنوبة هلع مرة أخرى.,كل حالة مختلفة. لا يمكنك توقع سلوكك المستقبلي. أنا متأكد من أنك سوف تتحسن إذا تصرفت بهدوء.
apprehension,أنا بحاجة لحضور اجتماع. أنا قلق لأنه آخر مرة تعرضت فيها لنوبة ذعر خلال اجتماع. سأصاب بنوبة هلع مرة أخرى.,لن أصاب بنوبة هلع إذا حاولت التزام الهدوء
apprehension,أنا بحاجة لحضور اجتماع. أنا قلق لأنه آخر مرة تعرضت فيها لنوبة ذعر خلال اجتماع. ماذا سيفكر الجميع؟ لا أستطيع التعامل مع هذا. انا ضعيف جدا.,لن يتواجد الناس لمجرد مشاهدتك طوال الوقت. سوف يلتزمون بأعمالهم الخاصة.
apprehension,أنا بحاجة لحضور اجتماع. أنا قلق لأنه آخر مرة تعرضت فيها لنوبة ذعر خلال اجتماع. ماذا سيفكر الجميع؟ لا أستطيع التعامل مع هذا. انا ضعيف جدا.,"الناس الآخرون لا يهتمون بنا كما نفعل نحن ، الجميع يفكرون في حياتهم ، لن يفكروا في خطئي المحتمل"
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. بدت وكأنها كانت غاضبة مني. لا أعرف لماذا يجب أن تكون وقحة للغاية.","لا يجب أن تفترض نبرة البريد الإلكتروني ، فربما لم تكن مقتطفًا على الإطلاق ويمكن أن تكون متحمسة حقًا لرؤيتك. إذا كانت تتعامل بوقاحة معك بشأن شيء بسيط للغاية ، فربما يرجع ذلك إلى أنها أساءت تفسير بريدك الإلكتروني ، أو ربما كانت تمر يومًا سيئًا."
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. بدت وكأنها كانت غاضبة مني. لا أعرف لماذا يجب أن تكون وقحة للغاية.",ربما مرت للتو بيوم سيء أو حدث شيء سيء. لا يجب أن أحكم على أفعالها حتى لا أعرف ما هي المشاعر والمواقف التي تسببت فيها. لكن لا ينبغي لها أن تضايقني إلا إذا كنت أنا المشكلة.
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. بدت وكأنها كانت غاضبة مني. لا أعرف لماذا يجب أن تكون وقحة للغاية.",من المحتمل أنها تستعد للتو وهي في عجلة من أمرها. من الصعب معرفة نغمة إجابتها في رد مكتوب.
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. لا أفهم ما الخطأ الذي ارتكبته. لكنني متأكد من أنه أنا. أنا دائما محرج اجتماعيا. ربما كان يجب أن أتحقق من رسائل البريد الإلكتروني الخاصة بي قبل الاتصال بها.","يجب أن تتحدث معها قبل أن تقفز إلى الاستنتاجات. لكنك لم تفعل شيئًا خاطئًا ، لذلك لا تضغط على نفسك. إذا كان هذا ما يشعر به أصدقاؤك حقًا ، فأنت بحاجة إلى أصدقاء جدد. أنت تستحق ذلك ، فأنت تستحق ذلك."
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. لا أفهم ما الخطأ الذي ارتكبته. لكنني متأكد من أنه أنا. أنا دائما محرج اجتماعيا. ربما كان يجب أن أتحقق من رسائل البريد الإلكتروني الخاصة بي قبل الاتصال بها.","أحيانًا أكون محرجًا اجتماعيًا ولكني لا أعتقد أن ذلك سيجعلها تكتب هذا البريد الإلكتروني المقتطف. بدلاً من الإفراط في التفكير ، يجب أن أسألها فقط ما الخطأ ومحاولة حل المشكلة."
hurt,"اتصلت بصديقتي لتذكيرها بالغداء وأرسلت بريدًا إلكترونيًا ""مقتطفًا"" تقول فيه إنها أبلغتني بالفعل أنها ستكون هناك. لا أفهم ما الخطأ الذي ارتكبته. لكنني متأكد من أنه أنا. أنا دائما محرج اجتماعيا. ربما كان يجب أن أتحقق من رسائل البريد الإلكتروني الخاصة بي قبل الاتصال بها.",لم أفعل شيئًا خاطئًا أعطي تذكيرًا. من السخيف أن نسيت أنها قالت بالفعل إنها ستكون هناك.
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. ماذا لو أصبت بنوبة هلع أثناء الطيران؟ لا أستطيع المغادرة وسأشعر بأنني محاصر مما يزيد قلقي سوءًا.,"من الطبيعي الشعور بالقلق أثناء الرحلة. ومع ذلك ، سيكون هناك أشخاص على متن الرحلة يمكنهم مساعدتك إذا أصبت بنوبة هلع. يتم تدريب المضيفات على هذا النوع من المواقف."
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. ماذا لو أصبت بنوبة هلع أثناء الطيران؟ لا أستطيع المغادرة وسأشعر بأنني محاصر مما يزيد قلقي سوءًا.,قد أفقد وعيي بسبب الكم الهائل من التوتر أو حتى أجرح نفسي أثناء محاولة إيجاد طريقة للوصول إلى مكان آمن
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. ماذا لو أصبت بنوبة هلع أثناء الطيران؟ لا أستطيع المغادرة وسأشعر بأنني محاصر مما يزيد قلقي سوءًا.,يجب أن أهدأ وأطلب الحبوب المنومة
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. سوف أشعر بأنني خارج عن السيطرة. ماذا سيفكر الناس بي؟,ليس من غير المألوف الشعور بالقلق من الطيران. سيتفهم الناس الموقف. أيضًا ما يعتقده الناس ليس مهمًا من صحتك.
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. سوف أشعر بأنني خارج عن السيطرة. ماذا سيفكر الناس بي؟,لن يفهمني أحد وسيعتقدون على الأرجح أنني سأصاب بالجنون وفي أسوأ الحالات سيحاول البعض كبح جماعي
fear,أريد أن أحضر حفل زفاف صديقي لكن عليّ أن أطير. أخشى الطيران لأنني أعاني من نوبات هلع وأخشى أن أصاب بنوبة أثناء الطيران. أعلم أن الطيران آمن ولا أخاف من ذلك. أخشى الشعور بالحصار والذعر وعدم الحصول على أي مساعدة. سوف أشعر بأنني خارج عن السيطرة. ماذا سيفكر الناس بي؟,لا يهمني ما يعتقده الناس عني
dread,لا بد لي من انتظار نتائج الفحوصات الطبية. أعتقد أنها تعتقد أن شيئًا ما خطأ لكنها لن تخبرني. نظر إلي الفني بقلق عندما أجريت الاختبارات. أنا متأكد من أن هناك شيئًا خاطئًا للغاية!,"أنا فقط أبالغ في التصرف بسبب الإجهاد. في هذه المرحلة ، يجب أن أهدأ وانتظر النتائج الفعلية."
dread,لا بد لي من انتظار نتائج الفحوصات الطبية. أعتقد أنها تعتقد أن شيئًا ما خطأ لكنها لن تخبرني. نظر إلي الفني بقلق عندما أجريت الاختبارات. أنا متأكد من أن هناك شيئًا خاطئًا للغاية!,يقوم الفني بإجراء الاختبارات وليس لديه معرفة بما تعنيه النتائج
